Date,symbol,Open,High,Low,Close,Volume
2024-07-16,300045,17.8,18.19,17.64,17.98,319920
2024-07-17,300045,17.83,18.18,17.33,17.33,287947
2024-07-18,300045,17.01,17.3,16.7,17.17,229140
2024-07-19,300045,17.2,17.55,17.02,17.29,164307
2024-07-22,300045,17.29,17.75,17.27,17.35,160696
2024-07-23,300045,17.3,17.39,16.8,16.8,163891
2024-07-24,300045,16.51,16.98,16.27,16.33,158942
2024-07-25,300045,16.18,16.43,15.8,16.24,131890
2024-07-26,300045,16.13,18.18,16.13,17.74,521744
2024-07-29,300045,17.74,17.99,17.5,17.92,327710
2024-07-30,300045,17.75,18.4,17.43,18.2,402659
2024-07-31,300045,18.2,18.66,17.99,18.48,441879
2024-08-01,300045,18.56,18.97,18.46,18.65,416754
2024-08-02,300045,18.41,18.93,18.05,18.06,359068
2024-08-05,300045,17.88,18.6,17.21,17.22,357984
2024-08-06,300045,17.55,17.85,17.25,17.59,240432
2024-08-07,300045,17.86,18.84,17.7,18.45,517954
2024-08-08,300045,18.22,18.37,17.12,17.12,417280
2024-08-09,300045,17.24,17.92,17.0,17.03,236369
2024-08-12,300045,16.88,17.03,16.42,16.55,170843
2024-08-13,300045,16.64,16.85,16.51,16.85,127704
2024-08-14,300045,16.79,17.05,16.65,16.82,136655
2024-08-15,300045,16.72,17.25,16.56,16.93,168116
2024-08-16,300045,17.1,17.25,16.7,16.71,172431
2024-08-19,300045,16.6,17.13,16.54,16.93,175110
2024-08-20,300045,16.85,16.86,16.5,16.56,136276
2024-08-21,300045,16.45,16.68,16.27,16.28,111350
2024-08-22,300045,16.3,16.5,16.0,16.01,135351
2024-08-23,300045,16.04,16.8,15.74,16.54,293528
2024-08-26,300045,16.4,16.64,16.19,16.27,163685
2024-08-27,300045,16.16,16.21,15.69,15.7,143166
2024-08-28,300045,15.58,15.91,15.38,15.83,128930
2024-08-29,300045,15.75,16.36,15.55,16.12,165207
2024-08-30,300045,16.12,16.79,16.12,16.5,235767
