Date,symbol,Open,High,Low,Close,Volume
2024-07-16,688188,80.77,81.32,79.39,80.02,7243
2024-07-17,688188,79.53,80.82,77.83,78.02,7474
2024-07-18,688188,77.73,78.61,76.7,78.09,5970
2024-07-19,688188,77.71,78.23,76.65,76.9,9546
2024-07-22,688188,77.03,77.94,75.16,75.63,9330
2024-07-23,688188,75.7,75.7,70.79,70.81,18091
2024-07-24,688188,70.32,71.6,68.47,68.66,13027
2024-07-25,688188,68.09,70.7,67.56,69.08,13414
2024-07-26,688188,69.08,70.19,67.8,69.63,6617
2024-07-29,688188,69.4,70.07,68.66,69.23,8064
2024-07-30,688188,69.08,69.08,67.05,67.9,11262
2024-07-31,688188,68.2,72.64,67.3,72.34,15508
2024-08-01,688188,72.34,73.53,71.15,71.37,10755
2024-08-02,688188,70.97,71.62,68.95,69.61,11630
2024-08-05,688188,69.17,71.5,68.01,68.46,9916
2024-08-06,688188,69.15,69.61,68.24,69.34,6460
2024-08-07,688188,68.99,69.57,68.05,68.79,6446
2024-08-08,688188,68.79,72.1,68.09,71.16,13325
2024-08-09,688188,71.56,73.48,70.98,72.01,14100
2024-08-12,688188,71.4,74.75,71.27,73.56,13752
2024-08-13,688188,73.56,74.3,72.85,73.64,8614
2024-08-14,688188,73.61,73.61,71.71,72.07,6716
2024-08-15,688188,72.1,75.54,72.1,74.19,13693
2024-08-16,688188,73.68,76.48,72.96,76.09,15503
2024-08-19,688188,76.36,78.05,76.23,77.55,11592
2024-08-20,688188,77.53,78.94,76.48,76.92,10628
2024-08-21,688188,76.44,76.58,74.46,75.7,10610
2024-08-22,688188,75.65,76.69,73.81,75.49,8389
2024-08-23,688188,75.95,77.54,74.85,77.53,7351
2024-08-26,688188,77.04,77.77,75.16,76.05,7411
2024-08-27,688188,75.78,76.29,74.91,75.84,5361
2024-08-28,688188,75.51,76.69,74.81,76.48,4839
2024-08-29,688188,76.35,78.7,75.84,78.22,5809
2024-08-30,688188,78.94,81.47,77.29,79.84,9357
2024-09-02,688188,79.5,80.35,76.07,76.2,10512
2024-09-03,688188,76.05,78.17,75.92,77.56,5647
2024-09-04,688188,77.22,78.26,76.23,77.36,4237
2024-09-05,688188,77.81,80.24,76.91,79.33,7404
2024-09-06,688188,79.47,83.52,78.97,81.8,11024
2024-09-09,688188,81.14,82.71,80.86,82.22,7633
2024-09-10,688188,81.23,84.45,80.63,83.57,6478
2024-09-11,688188,83.07,84.87,82.92,84.12,5097
2024-09-12,688188,84.43,85.18,82.79,83.94,5711
2024-09-13,688188,83.75,86.2,82.88,83.55,11168
2024-09-18,688188,83.39,86.36,83.04,84.49,8283
2024-09-19,688188,85.04,85.48,82.71,82.9,8139
2024-09-20,688188,83.6,83.8,80.98,81.97,9939
2024-09-23,688188,81.9,82.22,76.85,77.58,16551
2024-09-24,688188,78.46,80.47,75.61,80.33,17680
2024-09-25,688188,80.33,82.68,80.01,81.64,10932
2024-09-26,688188,81.3,85.72,78.62,85.29,9280
2024-09-27,688188,85.92,89.38,85.92,89.38,4974
2024-09-30,688188,93.82,107.16,93.82,104.05,22498
2024-10-08,688188,124.43,124.43,111.6,116.07,29194
2024-10-09,688188,113.61,122.46,98.76,116.79,25933
2024-10-10,688188,118.47,118.47,108.88,110.86,20116
2024-10-11,688188,112.78,112.78,102.92,104.69,14668
2024-10-14,688188,106.66,106.66,100.24,104.19,12713
2024-10-15,688188,102.71,104.44,101.23,101.28,8775
2024-10-16,688188,100.1,102.97,99.11,99.2,7415
2024-10-17,688188,99.82,101.02,98.24,99.06,9705
2024-10-18,688188,99.11,111.0,98.63,106.54,20245
2024-10-21,688188,106.09,107.4,102.86,103.32,16116
2024-10-22,688188,102.58,103.57,100.25,100.79,12508
2024-10-23,688188,100.78,102.92,98.13,99.16,12367
2024-10-24,688188,98.17,99.93,96.72,97.18,8582
2024-10-25,688188,97.91,100.08,96.41,98.01,11114
2024-10-28,688188,98.18,98.18,93.99,96.68,13727
2024-10-29,688188,96.63,98.0,94.61,95.04,11392
2024-10-30,688188,95.11,97.36,93.16,94.51,8908
2024-10-31,688188,94.5,95.39,92.67,93.51,11652
2024-11-01,688188,93.29,96.13,92.49,94.28,11807
2024-11-04,688188,95.14,96.52,94.22,95.0,9281
2024-11-05,688188,94.96,102.58,93.42,100.6,17265
2024-11-06,688188,100.62,102.41,97.37,97.7,15554
2024-11-07,688188,97.17,98.3,94.87,97.77,10976
2024-11-08,688188,99.42,103.5,99.32,100.73,18512
2024-11-11,688188,100.38,102.33,97.91,101.13,17783
2024-11-12,688188,101.14,105.34,100.76,101.93,16460
2024-11-13,688188,101.93,103.87,99.6,101.18,12175
2024-11-14,688188,100.82,102.86,97.63,97.92,12931
2024-11-15,688188,98.0,98.87,94.96,95.14,10645
2024-11-18,688188,95.37,97.31,92.69,93.35,10414
2024-11-19,688188,94.15,96.76,93.43,96.44,8386
2024-11-20,688188,96.44,97.13,95.0,96.64,7025
2024-11-21,688188,95.89,97.08,92.96,93.6,14671
2024-11-22,688188,93.2,94.27,89.87,89.87,11617
2024-11-25,688188,90.12,93.6,89.72,92.36,12573
2024-11-26,688188,92.0,93.4,90.05,90.15,6401
2024-11-27,688188,89.87,91.11,88.55,90.76,11302
2024-11-28,688188,90.68,90.96,88.55,89.0,9014
2024-11-29,688188,88.45,90.59,88.21,89.25,13909
2024-12-02,688188,88.65,92.42,88.65,90.09,15761
2024-12-03,688188,90.19,90.4,88.04,88.58,13022
2024-12-04,688188,88.8,89.09,86.26,87.0,13992
2024-12-05,688188,86.85,92.12,86.72,90.93,20863
2024-12-06,688188,91.66,92.17,89.8,90.94,13618
2024-12-09,688188,90.74,91.78,89.33,90.12,8886
2024-12-10,688188,94.48,97.31,93.51,94.1,19198
2024-12-11,688188,93.7,95.97,93.51,94.65,10468
2024-12-12,688188,95.01,95.2,93.71,94.37,6542
2024-12-13,688188,93.8,95.39,93.41,94.35,11095
2024-12-16,688188,94.19,94.99,88.35,89.98,17310
2024-12-17,688188,89.52,93.0,89.28,91.58,11089
2024-12-18,688188,91.76,92.41,90.49,90.95,7493
2024-12-19,688188,90.53,90.95,89.31,89.69,8694
2024-12-20,688188,89.48,90.37,88.5,89.2,10407
2024-12-23,688188,88.71,90.19,87.99,88.06,7497
2024-12-24,688188,88.43,88.95,87.22,88.48,6288
2024-12-25,688188,88.6,92.07,86.95,90.5,12345
2024-12-26,688188,90.36,91.08,88.6,90.92,12059
2024-12-27,688188,90.24,91.67,88.95,88.96,8861
2024-12-30,688188,89.7,97.86,89.7,94.89,28232
2024-12-31,688188,94.89,97.37,94.21,96.26,20896
2025-01-02,688188,96.13,97.6,92.52,93.75,20352
2025-01-03,688188,95.3,99.36,93.62,97.13,22494
2025-01-06,688188,96.87,98.37,92.42,93.71,15568
2025-01-07,688188,93.7,95.14,92.5,94.35,11770
2025-01-08,688188,93.81,98.36,93.16,97.26,15719
2025-01-09,688188,96.84,97.45,93.17,95.48,12687
2025-01-10,688188,95.3,95.58,88.59,88.6,21672
2025-01-13,688188,87.66,90.49,87.23,89.2,10646
2025-01-14,688188,89.31,96.3,88.71,96.28,17223
2025-01-15,688188,95.14,96.63,94.16,94.44,10816
2025-01-16,688188,94.44,95.99,93.72,95.64,10320
2025-01-17,688188,95.14,97.03,94.68,95.36,7311
2025-01-20,688188,96.16,98.0,95.37,95.79,8572
2025-01-21,688188,96.78,100.78,95.64,100.47,15130
2025-01-22,688188,100.6,101.51,98.12,99.09,8371
2025-01-23,688188,100.21,100.73,97.9,98.12,9282
2025-01-24,688188,98.37,99.39,96.79,97.69,7902
2025-01-27,688188,97.62,100.09,96.77,98.68,10941
2025-02-05,688188,98.57,99.8,95.24,95.81,12020
2025-02-06,688188,95.62,98.76,95.23,98.66,11095
2025-02-07,688188,98.86,101.82,98.12,100.12,15809
2025-02-10,688188,100.18,102.05,98.16,101.34,14473
